no_8x8dct,no_cabac,no_deblock,no_fast_pskip,no_mbtree,no_mixed_refs,no_weightb,rc_lookahead_20,rc_lookahead_40,rc_lookahead_60,ref_1,ref_5,ref_9,PERF
1,1,0,1,1,1,0,0,0,1,0,0,1,645.51
0,1,0,0,0,0,1,0,1,0,0,1,0,437.933
1,1,0,0,0,1,1,1,0,0,0,0,1,491.237
1,0,1,1,1,1,1,1,0,0,1,0,0,290.917
1,0,0,0,1,0,0,0,0,1,0,1,0,492.367
1,0,1,0,0,1,0,0,1,0,0,0,1,497.333
0,0,1,1,1,0,0,0,1,0,0,1,0,573.63
1,1,0,1,1,1,1,0,1,0,1,0,0,279.903
1,0,0,1,0,1,1,0,0,1,0,1,0,434.643
1,0,0,1,0,1,1,1,0,0,0,1,0,432.03
0,1,1,0,1,0,1,0,1,0,0,1,0,513
1,1,1,1,0,1,1,0,1,0,0,1,0,427.06
0,1,1,1,1,0,0,0,1,0,0,0,1,809.97
1,0,0,0,1,1,0,0,0,1,0,1,0,414.997
1,1,1,1,0,1,0,0,1,0,0,0,1,609.2
0,0,0,0,1,0,0,1,0,0,0,1,0,519.587
0,1,0,0,1,0,0,1,0,0,0,1,0,511.693
1,1,0,0,0,1,1,0,1,0,0,1,0,364.347
1,1,1,0,1,1,0,0,1,0,1,0,0,275.523
0,1,0,1,1,0,1,1,0,0,1,0,0,299.69
1,0,0,1,0,1,0,0,0,1,0,0,1,617.207
1,1,1,1,1,1,0,0,0,1,1,0,0,279.13
1,0,0,1,1,0,0,1,0,0,0,1,0,543.59
1,1,1,1,1,1,0,0,1,0,0,0,1,644.357
0,0,1,1,0,0,0,0,0,1,1,0,0,279.037
0,0,1,0,1,1,1,1,0,0,0,0,1,580.373
0,1,0,1,0,1,0,0,0,1,1,0,0,270.09
0,0,0,1,1,0,0,0,0,1,0,0,1,817.99
1,0,0,1,1,1,1,0,0,1,0,0,1,652.373
0,0,1,1,1,0,0,0,0,1,1,0,0,310.227
0,0,0,1,1,1,1,1,0,0,1,0,0,310.793
1,1,1,0,0,1,0,0,1,0,0,0,1,492.13
1,0,1,0,1,0,1,0,0,1,0,1,0,493.703
0,1,0,1,1,0,1,0,1,0,0,0,1,807
1,1,1,1,0,1,0,0,0,1,1,0,0,252.78
1,1,1,0,0,0,1,0,1,0,0,1,0,419.82
1,0,1,0,0,0,1,1,0,0,0,1,0,424.49
0,1,1,0,0,1,0,0,0,1,0,0,1,508.767
0,1,0,1,1,1,1,0,1,0,0,1,0,476.953
0,0,1,1,1,1,0,1,0,0,0,0,1,671.73
0,0,1,1,0,1,0,0,0,1,1,0,0,279.097
1,1,0,0,1,1,1,0,1,0,1,0,0,276.01
0,0,0,0,0,1,1,0,0,1,0,0,1,511.733
1,0,1,0,0,1,1,0,0,1,1,0,0,257.53
0,0,0,1,0,0,1,0,1,0,0,0,1,741.207
0,1,1,0,0,0,1,1,0,0,1,0,0,259.903
0,0,0,0,0,0,1,0,0,1,0,1,0,445.487
0,0,1,1,0,1,1,0,1,0,1,0,0,277.563
1,1,1,0,0,1,1,0,0,1,1,0,0,247.537
0,0,0,0,0,1,0,1,0,0,0,0,1,510.01
0,1,1,1,0,0,1,0,0,1,0,0,1,733.763
0,0,1,0,0,0,0,1,0,0,1,0,0,268.017
1,0,0,1,0,0,1,0,1,0,1,0,0,263.253
0,0,0,1,0,0,0,0,1,0,0,0,1,741.59
0,1,0,0,0,0,1,1,0,0,0,0,1,601.59
0,1,1,0,1,1,1,0,1,0,0,0,1,575.397
0,1,0,0,0,1,1,0,0,1,1,0,0,263.753
0,1,0,1,0,0,1,1,0,0,1,0,0,266.527
0,1,1,0,0,0,1,0,0,1,0,0,1,607.7
1,0,1,0,0,1,1,1,0,0,0,1,0,366.837
1,1,0,0,1,0,0,1,0,0,1,0,0,275.923
1,1,1,0,1,1,1,0,0,1,1,0,0,275.46
1,1,0,0,1,0,1,0,0,1,0,1,0,485.437
1,0,1,0,0,1,0,1,0,0,0,0,1,495.723
1,0,1,0,1,1,0,0,1,0,0,0,1,561.743
1,0,1,1,1,0,1,0,1,0,0,1,0,544.75
1,1,0,0,0,0,1,0,1,0,0,1,0,418.123
1,0,0,1,1,0,0,1,0,0,1,0,0,291.633
1,0,1,1,0,0,0,0,0,1,0,0,1,715.737
0,0,0,0,0,1,1,0,1,0,0,1,0,382.883
1,1,1,0,0,0,0,1,0,0,0,0,1,581.407
0,1,0,1,1,0,0,1,0,0,1,0,0,299.66
0,1,0,0,0,0,0,0,1,0,0,0,1,604.747
0,1,1,1,1,0,0,0,0,1,0,1,0,564.167
0,0,0,1,0,0,0,1,0,0,0,1,0,514.17
0,1,0,1,0,0,0,0,1,0,0,1,0,507.75
0,0,0,1,0,0,1,0,0,1,0,1,0,516.587
1,0,0,0,0,0,0,0,0,1,1,0,0,257.973
0,0,0,1,1,0,1,0,1,0,0,1,0,571.31
0,0,0,0,0,0,1,0,1,0,0,0,1,612.643
0,1,1,0,1,0,1,0,1,0,1,0,0,295.503
0,1,1,0,1,1,0,0,1,0,1,0,0,295.36
0,1,1,1,1,0,1,0,1,0,0,0,1,809.5
0,0,0,0,0,1,1,1,0,0,0,0,1,509.523
1,1,1,1,1,0,0,0,0,1,0,0,1,775.81
1,1,1,0,1,0,1,0,1,0,0,1,0,486.827
1,0,0,0,0,0,1,0,0,1,0,1,0,425.873
0,0,0,1,0,1,1,1,0,0,0,0,1,630.577
1,1,1,1,1,0,0,1,0,0,1,0,0,279.15
0,0,1,1,1,1,1,0,1,0,0,0,1,671.5
0,1,0,0,1,1,1,0,1,0,0,0,1,576.277
1,1,1,1,1,0,1,0,1,0,1,0,0,279.157
1,0,1,0,1,1,0,0,1,0,0,1,0,414.173
1,0,0,0,0,0,0,0,0,1,0,0,1,588.54
0,1,0,1,0,1,0,0,1,0,0,0,1,628.757
1,1,1,0,1,0,0,0,1,0,0,0,1,683.763
1,1,1,0,0,0,1,1,0,0,1,0,0,244.353
1,1,0,0,1,0,0,0,0,1,1,0,0,275.97
1,1,0,0,1,0,1,0,1,0,0,1,0,485.523
0,0,1,1,0,0,1,0,1,0,1,0,0,277.533
1,0,0,0,0,1,1,0,1,0,1,0,0,256.72
0,0,1,1,1,1,1,1,0,0,1,0,0,310.29
1,1,0,0,1,1,1,0,1,0,0,1,0,408.617
1,1,1,0,0,1,0,0,0,1,0,0,1,493.007
0,0,0,0,0,1,1,0,0,1,1,0,0,272.053
1,1,0,0,1,1,1,1,0,0,1,0,0,276.027
1,1,0,0,0,1,0,1,0,0,0,0,1,491.52
0,0,0,0,1,0,0,0,1,0,0,1,0,519.583
1,0,1,1,0,1,1,1,0,0,1,0,0,260.55
1,1,1,1,0,0,1,0,0,1,0,1,0,488.26
0,1,1,1,1,1,0,0,1,0,1,0,0,299.69
0,0,0,0,1,1,0,0,0,1,0,0,1,580.74
0,1,1,0,0,0,0,0,1,0,1,0,0,262.233
1,1,1,1,1,0,1,0,0,1,0,1,0,536.85
0,1,0,1,1,0,1,0,1,0,0,1,0,562.297
0,0,0,0,1,0,1,0,1,0,0,0,1,722.037
